source,target,value
A Criminisi,J Winn,2.0
A Criminisi,M Brown,2.0
A Criminisi,M Niessner,2.0
A Criminisi,M-M Cheng,2.0
A Criminisi,N Ayache,2.0
A Criminisi,N Pittman,2.0
A Criminisi,O M Thomas,2.0
A Criminisi,O Thomas,2.0
A Criminisi,P Kohli,2.0
A Criminisi,P Kontschieder,2.0
A Criminisi,P Torr,2.0
A Criminisi,S Blessenohl,2.0
A Criminisi,S Izadi,2.0
A Criminisi,S J Price,2.0
A Criminisi,S Pathak,2.0
A Criminisi,S Price,2.0
A Criminisi,T Sharp,2.0
A Criminisi,V Vineet,2.0
A Criminisi,Y Ioannou,2.0
A Custovic,A Simpson,2.0
A Custovic,CM Bishop,2.0
A Custovic,DE Heckerman,2.0
A Custovic,I Buchan,2.0
A Custovic,J Winn,2.0
A Custovic,M Svensen,2.0
A Custovic,VY Tan,2.0
A D Bookatz,M R tteler,2.0
A D Bookatz,P Wocjan,2.0
A David McGuire,Adien Finzi,2.0
A David McGuire,Adrian Chappell,2.0
A David McGuire,Alejro Salazar,2.0
A David McGuire,Anders Ahlstrom,2.0
A David McGuire,Bertr Guenet,2.0
A David McGuire,Carlos A Sierra,2.0
A David McGuire,Changhui Peng,2.0
A David McGuire,Charlie Koven,2.0
A David McGuire,Chris D Jones,2.0
A David McGuire,Eric A Davidson,2.0
A David McGuire,Francesca Hopkins,2.0
A David McGuire,Hanqin Tian,2.0
A David McGuire,James T Rerson,2.0
A David McGuire,Jennifer W Harden,2.0
A David McGuire,Jianyang Xia,2.0
A David McGuire,Junyi Liang,2.0
A David McGuire,Katerina Georgiou,2.0
A David McGuire,Katherine E O Todd-Brown,2.0
A David McGuire,Kees Jan van Groenigen,2.0
A David McGuire,Lifen Jiang,2.0
A David McGuire,Margaret Torn,2.0
A David McGuire,Mark J Lara,2.0
A David McGuire,Matthew J Smith,2.0
A David McGuire,Niels H Batjes,2.0
A David McGuire,Nuno Carvalhais,2.0
A David McGuire,Oleksra Hararuk,2.0
A David McGuire,Philippe Ciais,2.0
A David McGuire,Robert B Jackson,2.0
A David McGuire,Steven D Allison,2.0
A David McGuire,Tao Zhou,2.0
A David McGuire,Tristan O West,2.0
A David McGuire,Victor Brovkin,2.0
A David McGuire,William Parton,2.0
A David McGuire,William R Wieder,2.0
A David McGuire,Xia Xu,2.0
A David McGuire,Xiaofeng Xu,2.0
A David McGuire,Yaxing Wei,2.0
A David McGuire,Ying Ping Wang,2.0
A David McGuire,Yiqi Luo,2.0
A David McGuire,Yujie He,2.0
A Demiriz,KP Bennett,2.0
A Demiriz,PS Bradley,2.0
A Forin,J Shotton,2.0
A Forin,N Pittman,2.0
A G Fletcher,C J Arthurs,2.0
A G Fletcher,D G Harvey,2.0
A G Fletcher,D J Gavaghan,2.0
A G Fletcher,G R Mirams,2.0
A G Fletcher,J Cooper,2.0
A G Fletcher,J M Osborne,2.0
A G Fletcher,J Pitt-Francis,2.0
A G Fletcher,J Southern,2.0
A G Fletcher,M E Marsh,2.0
A G Fletcher,M O Bernabeu,2.0
A G Fletcher,N Zemzemi,2.0
A G Fletcher,P Pathmanathan,2.0
A G Fletcher,R Bordas,2.0
A G Fletcher,S-J Dunn,2.0
A G Fletcher,Y Davit,2.0
A Ganesh,D Gunawardena,2.0
A Ganesh,J Scott,2.0
A Ganesh,L Massouli ,2.0
A Ganesh,S Deb,2.0
A Ganesh (University of Bristol),A Lakshmikantha (UIUC),2.0
A Ganesh (University of Bristol),H Seferoglu (UC Irvine),2.0
A Ganesh (University of Bristol),Peter Key,2.0
A Geller,M B Hastings,2.0
A Ghoshal,Daniel Povey,2.0
A Ghoshal,K Riedhammer,2.0
A Ghoshal,T Bocklet,2.0
A Grimes,Harper R,2.0
A Gupta,Alex,2.0
A Gupta,Y Rui,2.0
A Hajnal,B Hall,2.0
A Hajnal,J Fisher,2.0
A Hajnal,N Piterman,2.0
A Hallapuro,H S Malvar,2.0
A Hallapuro,L Kerofsky,2.0
A Hallapuro,M Karczewicz,2.0
A Hartzler,M Czerwinski,2.0
A Hartzler,Rupa A Patel,2.0
A Hartzler,W Pratt,2.0
A Heibert,Bafna,2.0
A Heibert,C Kozanitis,2.0
A Heibert,G Varghese,2.0
A Heil,MJ Smith,2.0
A I T Rowstron,M J Taylor,2.0
A J Berheim Brush,Kori M Inkpen,2.0
A J Berheim Brush,Svetlana Yarosh,2.0
A J Bernheim Brush,Catherine C Marshall,2.0
A J Bernheim Brush,John Krumm,2.0
A J Bernheim Brush,Serge Egelman,2.0
A J Bernheim Brush,Stuart Schechter,2.0
A J Brush,Alex S,2.0
A J Brush,Ashish Kapoor,2.0
A J Brush,Brian Meyers,2.0
A J Brush,James Scott,2.0
A J Brush,John Krumm,2.0
A J Brush,Laurel Swan,2.0
A J Brush,Leysia Palen,2.0
A J Enright,AJ Knights,2.0
A J Enright,C Abreu-Goodger,2.0
A J Enright,C M,2.0
A J Enright,D Glass,2.0
A J Enright,E T Dermitzakis,2.0
A J Enright,J Nesbit,2.0
A J Enright,J Winn,2.0
A J Enright,JA Guerra-Assun  o,2.0
A J Enright,K S Small,2.0
A J Enright,L Parts,2.0
A J Enright,M A Quail,2.0
A J Enright,M I McCarthy,2.0
A J Enright,M Rantalainen,2.0
A J Enright,M van de Bunt,2.0
A J Enright,N Bartonicek,2.0
A J Enright,P Deloukas,2.0
A J Enright,R Durbin,2.0
A J Enright,R M gi,2.0
A J Enright,S Keildson,2.0
A J Enright,S van Dongen,2.0
A J Enright,T D Spector,2.0
A J Enright, K Hedman,2.0
A J Ganesh,Feng Xue,2.0
A J Ganesh,N O'Connell,2.0
A J Kennedy,G Russell,2.0
A Kaheel,M El-Saban,2.0
A Kaheel,M Refaat,2.0
A Kapoor,A Roseway,2.0
A Kapoor,B Byun,2.0
A Kapoor,B Lee,2.0
A Kapoor,E Carrol,2.0
A Kapoor,P A Chou,2.0
A Kolcz,R McCann,2.0
A Kumar,J Kuri,2.0
A Kumar,M K Pa,2.0
A Kumar,P Agrawal,2.0
A Kumar,R Ramjee,2.0
A Kumar,V Navda,2.0
A Kumar,V Padmanabhan,2.0
A Kumaran,Anil Ande,2.0
A Kumaran,Ashwani Sharma,2.0
A Kumaran,B Ashok,2.0
A Kumaran,Jagadeesh,2.0
A Kumaran,Jagadeesh Jagarlamudi,2.0
A Kumaran,Jagadeesh Jagarlamudl,2.0
A Kumaran,Jayant R Haritsa,2.0
A Kumaran,Kalika Bali,2.0
A Kumaran,Lucy Verwende,2.0
A Kumaran,Melissa Dunsmore,2.0
A Kumaran,Ming Liu,2.0
A Kumaran,Naren Datha,2.0
A Kumaran,Pavan K Chowdary,2.0
A Kumaran,Pushpak,2.0
A Kumaran,Rafael E Banchs,2.0
A Kumaran,Ranbeer Makin,2.0
A Kumaran,Sankaran Baskaran,2.0
A Kumaran,Shaik Sharif,2.0
A Kumaran,Shaishav Kumar,2.0
A Kumaran,Sor Maurice,2.0
A Kumaran,Sridhar Vedantham,2.0
A Kumaran,Sujay Kumar Jauhar,2.0
A Kumaran,Sumit Basu,2.0
A Kumaran,Tobias Kellner,2.0
A Kumaran,Vidya Natampally,2.0
A Kumaran,Vijay Pattisapu,2.0
A Kumaran,Vikram Dendi,2.0
A Kumaran,Xiangyu Duan,2.0
A Lakshmikantha (UIUC),H Seferoglu (UC Irvine),2.0
A Lakshmikantha (UIUC),Peter Key,2.0
A Machanavajjhala,G Varghese,2.0
A Machanavajjhala,J Chen,2.0
A Maunder,G Marsden,2.0
A Maunder,R Harper,2.0
A McLachlan,A Rookes,2.0
A McLachlan,C Bishop,2.0
A McLachlan,D Bartlett,2.0
A McLachlan,L Porte,2.0
A McLachlan,R Cahill,2.0
A Montillo,J Shotton,2.0
A Montillo,J Winn,2.0
A Montillo,S Pathak,2.0
A Nenkova,L Verwende,2.0
A Payne,M Gatford,2.0
A Payne,M M Hancock-Beaulieu,2.0
A Payne,S E Robertson,2.0
A Payne,S Walker,2.0
A Pnueli,C Plock,2.0
A Pnueli,H Kugler,2.0
A Proutiere,P B Key,2.0
A Proutiere,R Gummadi,2.0
A R Dick,PHS Torr,2.0
A R Dick,R Cipolla,2.0
A R Karlin,A V Goldberg,2.0
A R Karlin,J D Hartline,2.0
A R Karlin,K Deshmukh,2.0
A Rookes,C Bishop,2.0
A Rookes,D Bartlett,2.0
A Rookes,L Porte,2.0
A Rookes,R Cahill,2.0
A Roseway,E Carrol,2.0
A Roseway,M Czerwinski,2.0
A Sankaranarayanan,Q Zhang,2.0
A Sankaranarayanan,Qin Cai,2.0
A Sankaranarayanan,Zhengyou Zhang,2.0
A Sankaranarayanan,Zicheng Liu,2.0
A Santos,SL Peyton Jones,2.0
A Schein,D Blei,2.0
A Schein,H Wallach,2.0
A Schein,J Paisley,2.0
A Schuth,K Hofmann,2.0
A Schuth,M de,2.0
A Schuth,S Whiteson,2.0
A Sellen,K O'Hara,2.0
A Sellen,R harper,2.0
A Simpson,CM Bishop,2.0
A Simpson,DE Heckerman,2.0
A Simpson,I Buchan,2.0
A Simpson,J Winn,2.0
A Simpson,M Svensen,2.0
A Simpson,VY Tan,2.0
A Singer,B O ,2.0
A Singer,C Dormann,2.0
A Singer,C R mermann,2.0
A Singer,D W Kissling,2.0
A Singer,F M Schurr,2.0
A Singer,G J McInerny,2.0
A Singer,I1 K hn,2.0
A Singer,J C Svenning,2.0
A Singer,J Groeneveld,2.0
A Singer,J M Montoya,2.0
A Singer,K Schiffers,2.0
A Singer,N E Zimmermann,2.0
A Singer,T Hickler,2.0
A Soneiro,B Ramabhadran,2.0
A Soneiro,H Schulz,2.0
A Soneiro,L Mangu,2.0
A Soneiro,M Westphal,2.0
A Soneiro,O Siohan,2.0
A Sotirakopoulos,Cormac,2.0
A Sotirakopoulos,I Muslukhov,2.0
A Sotirakopoulos,K Beznosov,2.0
A Sotirakopoulos,S Egelman,2.0
A State,B Garrett,2.0
A State,DT Chen,2.0
A State,G Hirota,2.0
A State,M Livingston,2.0
A Stolcke,B Dumoulin,2.0
A Stolcke,M Levit,2.0
A Stolcke,R Subba,2.0
A Stolcke,S Chang,2.0
A Stolcke,S Parthasarathy,2.0
A Stolcke,S Xie,2.0
A Stolcke,T Anastasakos,2.0
A St hl,A Taylor,2.0
A St hl,Combetto M J,2.0
A St hl,Laaksolahti P,2.0
A St hl,M Lindstr m,2.0
A St hl,R Bresin,2.0
A St hl,Sundstr m H  k K,2.0
A Taylor,Combetto M J,2.0
A Taylor,Laaksolahti P,2.0
A Taylor,M Lindstr m,2.0
A Taylor,R Bresin,2.0
A Taylor,Sundstr m H  k K,2.0
A Thakar,AS Szalay,2.0
A Thakar,C Stoughton,2.0
A Thakar,D Slutz,2.0
A Thakar,J Gray,2.0
A Thakar,J Venberg,2.0
A Thakar,P Kunszt,2.0
A V Goldberg,C Harrelson,2.0
A V Goldberg,J D Hartline,2.0
A V Goldberg,K Deshmukh,2.0
A Wu,L Schwartz,2.0
A Wu,M Melero,2.0
A Wu,T Aikawa,2.0
A Zisserman,PHS Torr,2.0
A-M Kermarrec,AJ Ganesh,2.0
A-M Kermarrec,L Massoulie,2.0
ABlass,Y Gurevich,2.0
AJ Bernheim Brush,Adrienne Andrew,2.0
AJ Bernheim Brush,Amar Phanishayee,2.0
AJ Bernheim Brush,Arjm Samuel,2.0
AJ Bernheim Brush,Brian Meyers,2.0
AJ Bernheim Brush,Danny Huang,2.0
AJ Bernheim Brush,Erin Griffiths,2.0
AJ Bernheim Brush,Evgeni Filippov,2.0
AJ Bernheim Brush,Frank Martinez,2.0
AJ Bernheim Brush,Gina Venolia,2.0
AJ Bernheim Brush,Hrvoje Benko,2.0
AJ Bernheim Brush,JJ Cadiz,2.0
AJ Bernheim Brush,Jaeyeon Jung,2.0
AJ Bernheim Brush,Jonathan Donner,2.0
AJ Bernheim Brush,Jonathan Grudin,2.0
AJ Bernheim Brush,Khurshed Mazhar,2.0
AJ Bernheim Brush,Kimberly Tee,2.0
AJ Bernheim Brush,Kori M Inkpen,2.0
AJ Bernheim Brush,Mahsan Rofouei,2.0
AJ Bernheim Brush,Marc A Smith,2.0
AJ Bernheim Brush,Meredith Ringel Morris,2.0
AJ Bernheim Brush,Mike Hazas,2.0
AJ Bernheim Brush,Neeti Gupta,2.0
AJ Bernheim Brush,Nicolas Villar,2.0
AJ Bernheim Brush,Rayman Preet Singh,2.0
AJ Bernheim Brush,Rebecca Grinter,2.0
AJ Bernheim Brush,Richard Banks,2.0
AJ Bernheim Brush,Shwetak Patel,2.0
AJ Bernheim Brush,Sidhant Gupta,2.0
AJ Bernheim Brush,Steve Hodges,2.0
AJ Bernheim Brush,Stewart Tansley,2.0
AJ Bernheim Brush,Stuart Schechter,2.0
AJ Bernheim Brush,T Scott Saponas,2.0
AJ Bernheim Brush,Tammara Combs Turner,2.0
AJ Brush,Abigail Sellen,2.0
AJ Brush,Aman Kansal,2.0
AJ Brush,Amy Karlson,2.0
AJ Brush,Andrew Wilson,2.0
AJ Brush,Andy Jacobs,2.0
AJ Brush,Ashish Kapoor,2.0
AJ Brush,Asta Roseway,2.0
AJ Brush,Bernie Hogan,2.0
AJ Brush,Bodhi Priyantha,2.0
AJ Brush,Darren Edge,2.0
AJ Brush,Dave Kirk,2.0
AJ Brush,Dimitris Papanikolaou,2.0
AJ Brush,Eiji Hayashi,2.0
AJ Brush,Eric Gleave,2.0
AJ Brush,Frank Martinez,2.0
AJ Brush,Hong Lu,2.0
AJ Brush,Jason Wiese,2.0
AJ Brush,Jie Liu,2.0
AJ Brush,Jonathan Lester,2.0
AJ Brush,Junius Gunaratne,2.0
AJ Brush,Karin Strauss,2.0
AJ Brush,Katherine Everitt,2.0
AJ Brush,Kathryn McKinley,2.0
AJ Brush,Kimberly Tee,2.0
AJ Brush,Merrie Morris,2.0
AJ Brush,Oriana Riva,2.0
AJ Brush,Paul Johns,2.0
AJ Brush,Ryder Ziola,2.0
AJ Brush,Scott Saponas,2.0
AJ Brush,Serge Egelman,2.0
AJ Brush,Shwetak Patel,2.0
AJ Brush,Steven Drucker,2.0
AJ Brush,Stuart Schechter,2.0
AJ Brush,T Scott Saponas,2.0
AJ Brush,Todd Mytkowicz,2.0
AJ Brush,Xiang Cao,2.0
AJ Brush,Xianghua,2.0
AJ Brush,Xiaoqing Wang,2.0
AJ Ganesh,D Polis,2.0
AJ Ganesh,L Massoulie,2.0
AJ Ganesh,PB Key,2.0
AJ Ganesh,R Srikant,2.0
AJ Gordon,SL Peyton Jones,2.0
AJ Gordon,SO Finne,2.0
AJ Knights,C Abreu-Goodger,2.0
AJ Knights,C M,2.0
AJ Knights,D Glass,2.0
AJ Knights,E T Dermitzakis,2.0
AJ Knights,J Nesbit,2.0
AJ Knights,J Winn,2.0
AJ Knights,JA Guerra-Assun  o,2.0
AJ Knights,K S Small,2.0
AJ Knights,L Parts,2.0
AJ Knights,M A Quail,2.0
AJ Knights,M I McCarthy,2.0
AJ Knights,M Rantalainen,2.0
AJ Knights,M van de Bunt,2.0
AJ Knights,N Bartonicek,2.0
AJ Knights,P Deloukas,2.0
AJ Knights,R Durbin,2.0
AJ Knights,R M gi,2.0
AJ Knights,S Keildson,2.0
AJ Knights,S van Dongen,2.0
AJ Knights,T D Spector,2.0
AJ Knights, K Hedman,2.0
AK Jain,Zhang Hongjiang,2.0
AK Jain,Zhong Yu,2.0
AS Szalay,C Stoughton,2.0
AS Szalay,D Slutz,2.0
AS Szalay,J Gray,2.0
AS Szalay,J Venberg,2.0
AS Szalay,P Kunszt,2.0
AV Goldberg,Haim Kaplan,2.0
AV Goldberg,Renato F Werneck,2.0
Aakanksha Chowdhery,Paul Garnett,2.0
Aakanksha Chowdhery,Paul Mitchell,2.0
Aakanksha Chowdhery,Ranveer Chra,2.0
Aakar Gupta,Abhishek Sinha,2.0
Aakar Gupta,Edward Cutrell,2.0
Aakar Gupta,Julie Weber,2.0
Aakar Gupta,Michael Paik,2.0
Aakar Gupta,Ravin Balakrishnan,2.0
Aakash Goenka,Aishwarya Ganesan,2.0
Aakash Goenka,Deepanker Aggarwal,2.0
Aakash Goenka,Krishna Chintalapudi,2.0
Aakash Goenka,Lili Qiu,2.0
Aakash Goenka,Rajalakshmi Nakumar,2.0
Aakash Goenka,Saikat Guha,2.0
Aakash Goenka,Swati Rallapalli,2.0
Aakash Goenka,Venkata N Padmanabhan,2.0
Aamir Anis,Antonio Ortega,2.0
Aamir Anis,Philip A Chou,2.0
Aapo Kyrola,Enhong Chen,2.0
Aapo Kyrola,Fan Yang,2.0
Aapo Kyrola,Feng Zhao,2.0
Aapo Kyrola,Ji Hong,2.0
Aapo Kyrola,Lidong Zhou,2.0
Aapo Kyrola,Ming Wu,2.0
Aapo Kyrola,Raymond Cheng,2.0
Aapo Kyrola,Xuetian Weng,2.0
Aapo Kyrola,Youshan Miao,2.0
Aaron,Aaron Hoff,2.0
Aaron,Asta Roseway,2.0
Aaron,Brian Meyers,2.0
Aaron,Hoff,2.0
Aaron,Honglu Du,2.0
Aaron,Johns,2.0
Aaron,Konstantinos Chorianopoulos,2.0
Aaron,Kori Inkpen,2.0
Aaron,Liad Blumrosen,2.0
Aaron,Mary Czerwinski,2.0
Aaron,Moshe Babaioff,2.0
Aaron,Paul,2.0
Aaron,Paul Johns,2.0
Aaron,Peter Ljungstr,2.0
Aaron,Tom Gross,2.0
Aaron F Bobick,James W Davis,2.0
Aaron Hertzmann,Andrew Fitzgibbon,2.0
Aaron Hertzmann,Gerard Pons-Moll,2.0
Aaron Hertzmann,Jamie Shotton,2.0
Aaron Hertzmann,Jonathan Taylor,2.0
Aaron Hoff,Brian Meyers,2.0
Aaron Hoff,Chen Zhao,2.0
Aaron Hoff,Danyel Fisher,2.0
Aaron Hoff,George Robertson,2.0
Aaron Hoff,Hoff,2.0
Aaron Hoff,Jennifer Marlow,2.0
Aaron Hoff,Jeremy T Barksdale,2.0
Aaron Hoff,Jiang Yang,2.0
Aaron Hoff,John Tang,2.0
Aaron Hoff,Johns,2.0
Aaron Hoff,Julia Schwarz,2.0
Aaron Hoff,Matthew Hurst,2.0
Aaron Hoff,Michael Gamon,2.0
Aaron Hoff,Munmun de Choudhury,2.0
Aaron Hoff,Patrick Therien,2.0
Aaron Hoff,Paul,2.0
Aaron Hoff,Peter Ljungstr,2.0
Aaron Hoff,Robert Xiao,2.0
Aaron Hoff,Sarah Morlidge,2.0
Aaron Hoff,Xiang Cao,2.0
Aaron J Turon,Claudio V Russo,2.0
Aaron Johnson,Binh Vo,2.0
Aaron Johnson,David Ladd,2.0
Aaron Johson,Brad Daniels,2.0
Aaron Johson,Chad Verbowski,2.0
Aaron Johson,John Dunagan,2.0
Aaron Johson,Roussi Roussev,2.0
Aaron Johson,Yi-Min Wang,2.0
Aaron M Berlin,Andreas Cerny,2.0
Aaron M Berlin,Andrew Berical,2.0
Aaron M Berlin,Andrew D Roberts,2.0
Aaron M Berlin,Andrew H Talal,2.0
Aaron M Berlin,Arne Schneidewind,2.0
Aaron M Berlin,Arthur Y Kim,2.0
Aaron M Berlin,Bongshin Lee,2.0
Aaron M Berlin,Brian R Edlin,2.0
Aaron M Berlin,Bruce D Walker,2.0
Aaron M Berlin,Bruce W Birren,2.0
Aaron M Berlin,Chad Nusbaum,2.0
Aaron M Berlin,Chinnappa Kodira,2.0
Aaron M Berlin,Christopher Birch,2.0
Aaron M Berlin,Cory M McMahon,2.0
Aaron M Berlin,David Heckerman,2.0
Aaron M Berlin,Edward D Gomperts,2.0
Aaron M Berlin,Eric S Daar,2.0
Aaron M Berlin,Florian Bihl,2.0
Aaron M Berlin,Georg M Lauer,2.0
Aaron M Berlin,Gerond V Lake-Bakaar,2.0
Aaron M Berlin,Hugo R Rosen,2.0
Aaron M Berlin,Ira M Jacobson,2.0
Aaron M Berlin,James E Galagan,2.0
Aaron M Berlin,Jaquelyn F Fleckenstein,2.0
Aaron M Berlin,Joerg Timm,2.0
Aaron M Berlin,Jonathan Carlson,2.0
Aaron M Berlin,Julian Schulze zur Wiesch,2.0
Aaron M Berlin,Laura L Reyor,2.0
Aaron M Berlin,Margaret A Madey,2.0
Aaron M Berlin,Marianna Kleyman,2.0
Aaron M Berlin,Matthew R Henn,2.0
Aaron M Berlin,Michael Koehrsen,2.0
Aaron M Berlin,Niall Lennon,2.0
Aaron M Berlin,Raymond T Chung,2.0
Aaron M Berlin,Sarah K Young,2.0
Aaron M Berlin,Sharyne M Donfield,2.0
Aaron M Berlin,Thomas Kuntzen,2.0
Aaron M Berlin,Timothy Ledlie,2.0
Aaron M Berlin,Todd M,2.0
Aaron M Berlin,Tony Marion,2.0
Aaron M Berlin,Ulrich Spengler,2.0
Aaron M Berlin,Vicki M Park,2.0
Aaron M Berlin,Yanming Xing,2.0
Aaron M Berlin,Zhimin Liu,2.0
Aaron Ogus,Adam Glass,2.0
Aaron Ogus,Antony Rowstron,2.0
Aaron Ogus,Austin Donnelly,2.0
Aaron Ogus,Brad Calder,2.0
Aaron Ogus,Cheng Huang,2.0
Aaron Ogus,Dave Harper,2.0
Aaron Ogus,Eric Peterson,2.0
Aaron Ogus,Huseyin Simitci,2.0
Aaron Ogus,Parikshit Gopalan,2.0
Aaron Ogus,Paul Engl,2.0
Aaron Ogus,Richard Black,2.0
Aaron Ogus,Sergey Legtchenko,2.0
Aaron Ogus,Sergey Yekhanin,2.0
Aaron Ogus,Shobana Balakrishnan,2.0
Aaron Ogus,Yikang Xu,2.0
Aaron Ogus,jin Li,2.0
Aaron Roth,Liad Blumrosen,2.0
Aaron Roth,Moshe Babaioff,2.0
Aaron Schulman,Calvin Grunewald,2.0
Aaron Schulman,Kamal Jain,2.0
Aaron Schulman,Neil Spring,2.0
Aaron Schulman,Pralhad Deshpe,2.0
Aaron Schulman,Ramachran Ramjee,2.0
Aaron Schulman,Venkata N Padmanabhan,2.0
Aaron Schulman,Vishnu Navda,2.0
Aaron Shaw,Andres Monroy-Hernez,2.0
Aaron Shaw,Benjamin Mako Hill,2.0
Aaron Shaw,Elizabeth Gerber,2.0
Aaron Shaw,Haoqi Zhang,2.0
Aaron Shaw,Patrick,2.0
Aaron Shaw,Peter Kinnaird,2.0
Aaron Shaw,Sean A Munson,2.0
Aaron Shaw,Shelly D Farnham,2.0
Aaron Thierry,Andrew P Beckerman,2.0
Aaron Thierry,Owen L Petchey,2.0
Aaron Thierry,Philip H Warren,2.0
Aaron Thierry,Richard J,2.0
Abbas Attarwala,Michael Massimi,2.0
Abbas Attarwala,Rachelle Campigotto,2.0
Abbas Attarwala,Ronald M,2.0
Abdel-rahman Mohamed,Alex Acero,2.0
Abdel-rahman Mohamed,Andreas Stolcke,2.0
Abdel-rahman Mohamed,Andrew Senior,2.0
Abdel-rahman Mohamed,Brian Kingsbury,2.0
Abdel-rahman Mohamed,Frank Seide,2.0
Abdel-rahman Mohamed,Geoff Hinton,2.0
Abdel-rahman Mohamed,Geoffrey Hinton,2.0
Abdel-rahman Mohamed,Geoffrey Zweig,2.0
Abdel-rahman Mohamed,Gerald Penn,2.0
Abdel-rahman Mohamed,Jasha Droppo,2.0
Abdel-rahman Mohamed,Mike Seltzer,2.0
Abdel-rahman Mohamed,Navdeep Jaitly,2.0
Abdel-rahman Mohamed,Patrick Nguyen,2.0
Abdel-rahman Mohamed,Tara Sainath George Dahl,2.0
Abdel-rahman Mohamed,Vincent Vanhoucke,2.0
Abdelmounaam Rezgui,Chaowei Yang,2.0
Abdelmounaam Rezgui,Daniel Fay,2.0
Abdelmounaam Rezgui,Jing Li,2.0
Abdelmounaam Rezgui,Jizhe Xia,2.0
Abdelmounaam Rezgui,Min Sun,2.0
Abdelmounaam Rezgui,Yan Xu,2.0
Abdelmounaam Rezgui,Zhipeng Gui,2.0
Abdelrahman Mohamed,Geoffrey Zweig,2.0
Abdelrahman Mohamed,Jinyu Li,2.0
Abdelrahman Mohamed,Yifan Gong,2.0
Abdul Alim,Alexer L Wolf,2.0
Abdul Alim,Lukas Rupprecht,2.0
