source,target,value
A Aiken,J Foster,
A Aiken,R Levien,2.0
A Aiken,Z Su,2.0
A Alwan,J Huang,2.0
A Alwan,Li Deng,2.0
A Alwan,R Pruvenok,2.0
A Alwan,S Momen,2.0
A Alwan,X Cui,2.0
A Alwan,Y Chen,2.0
A Awasthi,A Kapoor,2.0
A Awasthi,B Byun,2.0
A Awasthi,B Lee,2.0
A Awasthi,M Czerwinski,2.0
A Awasthi,P A Chou,2.0
A Back,A Hartzler,2.0
A Back,M Czerwinski,2.0
A Back,Rupa A Patel,2.0
A Back,W Pratt,2.0
A Bain,F Kelly,2.0
A Bain,L Massouli ,2.0
A Bain,P Key,2.0
A Barrett,A C Nica,2.0
A Barrett,A J Enright,2.0
A Barrett,AJ Knights,2.0
A Barrett,C Abreu-Goodger,2.0
A Barrett,C M,2.0
A Barrett,D Glass,2.0
A Barrett,E T Dermitzakis,2.0
A Barrett,J Nesbit,2.0
A Barrett,J Winn,2.0
A Barrett,JA Guerra-Assun  o,2.0
A Barrett,K S Small,2.0
A Barrett,L Parts,2.0
A Barrett,M A Quail,2.0
A Barrett,M I McCarthy,2.0
A Barrett,M Rantalainen,2.0
A Barrett,M van de Bunt,2.0
A Barrett,N Bartonicek,2.0
A Barrett,P Deloukas,2.0
A Barrett,R Durbin,2.0
A Barrett,R M gi,2.0
A Barrett,S Keildson,2.0
A Barrett,S van Dongen,2.0
A Barrett,T D Spector,2.0
A Barrett, K Hedman,2.0
A Blake,B North,2.0
A Blake,MA Isard,2.0
A Bocharov,ABlass,2.0
A Bocharov,J Yard,2.0
A Bocharov,M R tteler,2.0
A Bocharov,S X Cui,2.0
A Bocharov,V Kliuchnikov,2.0
A Bocharov,Y Gurevich,2.0
A Broder,M Manasse,2.0
A Broder,S Glassman,2.0
A Br ndle,A Heil,2.0
A Br ndle,MJ Smith,2.0
A C,Barlow,2.0
A C,Ewers,2.0
A C,Ferreira,2.0
A C,Gardner,2.0
A C,Lees,2.0
A C,Moura,2.0
A C,N G,2.0
A C,R M,2.0
A C,T A,2.0
A C,sadia,2.0
A C Nica,A J Enright,2.0
A C Nica,AJ Knights,2.0
A C Nica,C Abreu-Goodger,2.0
A C Nica,C M,2.0
A C Nica,D Glass,2.0
A C Nica,E T Dermitzakis,2.0
A C Nica,J Nesbit,2.0
A C Nica,J Winn,2.0
A C Nica,JA Guerra-Assun  o,2.0
A C Nica,K S Small,2.0
A C Nica,L Parts,2.0
A C Nica,M A Quail,2.0
A C Nica,M I McCarthy,2.0
A C Nica,M Rantalainen,2.0
A C Nica,M van de Bunt,2.0
A C Nica,N Bartonicek,2.0
A C Nica,P Deloukas,2.0
A C Nica,R Durbin,2.0
A C Nica,R M gi,2.0
A C Nica,S Keildson,2.0
A C Nica,S van Dongen,2.0
A C Nica,T D Spector,2.0
A C Nica, K Hedman,2.0
A Christian K nig,Danyel Fisher,2.0
A Christian K nig,Steven M Drucker,2.0
A Corduneanu,Christopher M Bishop,2.0
A Corrias,A G Fletcher,2.0
A Corrias,C J Arthurs,2.0
A Corrias,D G Harvey,2.0
A Corrias,D J Gavaghan,2.0
A Corrias,G R Mirams,2.0
A Corrias,J Cooper,2.0
A Corrias,J M Osborne,2.0
A Corrias,J Pitt-Francis,2.0
A Corrias,J Southern,2.0
A Corrias,M E Marsh,2.0
A Corrias,M O Bernabeu,2.0
A Corrias,N Zemzemi,2.0
A Corrias,P Pathmanathan,2.0
A Corrias,R Bordas,2.0
A Corrias,S-J Dunn,2.0
A Corrias,Y Davit,2.0
A Criminisi,A Forin,2.0
A Criminisi,A Montillo,2.0
A Criminisi,C Morrison,2.0
A Criminisi,D Kim,2.0
A Criminisi,D Ye,2.0
A Criminisi,H Lombaert,2.0
A Criminisi,J Valentin,2.0
